customerno,recency,frequency,monetary,cluster
12004.0,228,1,1509.6,1
12006.0,219,1,24.76,1
12008.0,277,1,5689.57,1
12013.0,360,1,69.96000000000001,1
12024.0,177,1,149.51999999999998,1
12025.0,288,1,1021.59,1
12026.0,340,1,20486.32,3
12031.0,71,1,136.18,1
12042.0,265,1,6296.7699999999995,1
12043.0,158,1,1235.59,1
12050.0,149,1,141.67000000000002,1
12057.0,32,2,4816.81,0
12060.0,366,1,36.75,1
12063.0,218,1,39.33,1
12067.0,18,1,14293.33,0
12071.0,366,1,23215.26,3
12078.0,285,1,2667.2599999999998,1
12080.0,185,1,14378.82,3
12081.0,359,1,13.27,1
12082.0,298,1,32.89,1
12087.0,185,1,857.34,1
12089.0,265,1,1179.53,1
12090.0,185,1,736.23,1
12093.0,185,1,1986.98,1
12100.0,248,1,10683.71,3
12115.0,9,2,14211.470000000001,0
12116.0,166,1,2076.51,1
12120.0,166,1,454.16,1
12128.0,330,1,472.13,1
12130.0,32,1,63.56,1
12134.0,78,1,7825.83,3
12151.0,176,1,215.29,1
12154.0,339,1,9185.1,3
12160.0,120,1,51.2,1
12161.0,157,1,48.53,1
12165.0,256,1,1283.18,1
12167.0,256,1,1457.46,1
12171.0,309,1,1921.96,1
12174.0,43,1,111.75,1
12185.0,50,1,8369.02,3
12202.0,71,1,6810.79,3
12204.0,239,1,544.48,1
12205.0,239,1,1016.4,1
12214.0,296,1,10198.44,3
12221.0,108,2,16948.03,3
12230.0,108,1,16299.9,3
12231.0,176,1,5513.19,1
12236.0,166,1,65.52,1
12237.0,369,1,22960.43,3
12240.0,166,1,3682.15,1
12242.0,166,2,499.9,1
12245.0,146,2,2829.37,1
12251.0,369,1,1280.78,1
12252.0,369,1,344.72,1
12253.0,369,1,2184.44,1
12255.0,318,1,5592.11,1
12256.0,2,2,6606.820000000001,0
12278.0,239,1,8417.1,3
12286.0,99,1,1567.91,1
12290.0,145,1,642.38,1
12293.0,201,2,1332.27,1
12309.0,37,1,12.86,1
12321.0,191,2,561.99,1
12324.0,173,3,6207.42,3
12325.0,227,1,104.32,1
12336.0,191,1,638.92,1
12338.0,215,1,825.42,1
12340.0,227,1,4866.7699999999995,1
12346.0,326,1,840113.8,3
12347.0,3,8,38321.9,2
12348.0,76,4,25377.36,3
12349.0,19,1,7951.1,0
12350.0,128,2,2371.9,1
12352.0,37,7,6811.92,3
12353.0,205,1,296.24,1
12354.0,233,1,6356.94,1
