customerno,recency,frequency,monetary
12004.0,228,1,1509.6
12006.0,219,1,24.76
12008.0,277,1,5689.57
12013.0,360,1,69.96000000000001
12024.0,177,1,149.51999999999998
12025.0,288,1,1021.59
12026.0,340,1,20486.32
12031.0,71,1,136.18
12042.0,265,1,6296.7699999999995
12043.0,158,1,1235.59
12050.0,149,1,141.67000000000002
12057.0,32,2,4816.81
12060.0,366,1,36.75
12063.0,218,1,39.33
12067.0,18,1,14293.33
12071.0,366,1,23215.26
12078.0,285,1,2667.2599999999998
12080.0,185,1,14378.82
12081.0,359,1,13.27
12082.0,298,1,32.89
12087.0,185,1,857.34
12089.0,265,1,1179.53
12090.0,185,1,736.23
12093.0,185,1,1986.98
12100.0,248,1,10683.71
12115.0,9,2,14211.470000000001
12116.0,166,1,2076.5099999999998
12120.0,166,1,454.16
12128.0,330,1,472.13
12130.0,32,1,63.56
12134.0,78,1,7825.83
12151.0,176,1,215.29
12154.0,339,1,9185.1
12160.0,120,1,51.2
12161.0,157,1,48.53
12165.0,256,1,1283.18
12167.0,256,1,1457.46
12171.0,309,1,1921.96
12174.0,43,1,111.75
12185.0,50,1,8369.02
12202.0,71,1,6810.79
12204.0,239,1,544.48
12205.0,239,1,1016.4
12214.0,296,1,10198.44
12221.0,108,2,16948.03
12230.0,108,1,16299.9
12231.0,176,1,5513.19
12236.0,166,1,65.52
12237.0,369,1,22960.43
12240.0,166,1,3682.15
12242.0,166,2,499.9
12245.0,146,2,2829.37
12251.0,369,1,1280.78
12252.0,369,1,344.71999999999997
12253.0,369,1,2184.44
12255.0,318,1,5592.11
12256.0,2,2,6606.820000000001
12278.0,239,1,8417.1
12286.0,99,1,1567.91
12290.0,145,1,642.38
12293.0,201,2,1332.27
12309.0,37,1,12.86
12321.0,191,2,561.99
12324.0,173,3,6207.42
12325.0,227,1,104.32
12336.0,191,1,638.92
12338.0,215,1,825.42
12340.0,227,1,4866.7699999999995
12346.0,326,1,840113.8
12347.0,3,8,38321.9
12348.0,76,4,25377.36
12349.0,19,1,7951.1
12350.0,128,2,2371.9
12352.0,37,7,6811.92
12353.0,205,1,296.24
12354.0,233,1,6356.94
12355.0,215,1,2930.62
12356.0,23,4,20298.05
12357.0,34,1,33893.72
12358.0,2,3,23772.82
12359.0,58,4,24503.01
12360.0,53,3,13959.64
12361.0,288,1,922.62
12362.0,4,10,24367.78
12363.0,110,2,4747.08
12364.0,8,5,15842.75
12365.0,292,1,2101.83
12367.0,5,2,1268.6000000000001
12370.0,52,4,27599.42
12371.0,60,1,7411.53
12372.0,72,3,9302.48
12373.0,255,2,7980.55
12374.0,26,1,4112.9
12375.0,11,2,1385.9
12377.0,316,2,11241.34
12378.0,130,1,29410.6
12379.0,82,2,4315.0599999999995
12380.0,22,4,12159.37
12381.0,5,3,9136.37
12383.0,185,5,17227.829999999998
12384.0,29,2,1575.27
12386.0,338,2,4040.2999999999997
12387.0,208,1,5326.62
12388.0,16,6,16632.03
12390.0,80,1,4104.7
12391.0,22,1,3535.27
12393.0,73,6,8314.75
12394.0,64,2,9390.52
12395.0,20,12,24180.37
12396.0,263,1,6765.1
12397.0,36,3,15955.51
12398.0,46,1,15525.12
12399.0,120,4,12422.4
12401.0,304,1,124.47
12402.0,324,1,837.5
12403.0,50,1,1364.64
12405.0,149,1,10126.52
12406.0,23,2,21277.63
12407.0,50,5,15924.92
12408.0,33,5,16083.97
12409.0,79,3,66730.26
12410.0,309,2,2668.2999999999997
12411.0,262,1,55.24
12412.0,75,3,9420.63
12413.0,67,3,3307.89
12414.0,67,4,18177.6
12415.0,25,20,900545.54
12417.0,4,9,17859.88
12418.0,113,1,4856.91
12420.0,64,1,4151.1
12421.0,16,4,5091.65
12422.0,96,4,14936.449999999999
12423.0,1,9,14766.41
12424.0,163,2,9389.81
12425.0,79,1,5638.98
12426.0,195,1,3126.61
12427.0,22,3,6109.77
12428.0,26,10,41864.41
12429.0,10,4,16106.1
12430.0,44,1,1410.68
12431.0,36,15,35118.12
12432.0,36,5,22880.21
12433.0,1,7,115454.49
12434.0,85,2,4864.51
12435.0,80,2,27757.97
12436.0,100,1,2581.38
12437.0,2,18,33137.62
12438.0,15,2,10591.5
12441.0,367,1,1389.3
12442.0,4,1,1297.84
12444.0,22,6,15868.42
12445.0,23,1,694.3199999999999
12446.0,58,1,4259.83
12447.0,244,1,2236.38
12448.0,45,1,2834.36
12449.0,23,4,18993.77
12450.0,157,2,1216.1399999999999
12451.0,11,6,74247.09
12452.0,17,1,1115.05
12453.0,135,1,5572.6
12454.0,57,1,13925.84
12455.0,74,5,23270.8
12456.0,45,3,19229.12
12457.0,67,7,9444.71
12458.0,72,3,14297.16
12461.0,155,1,3532.59
12462.0,19,2,6362.73
12463.0,11,5,8933.32
12464.0,11,8,1657.98
12465.0,18,2,5567.22
12468.0,188,3,16010.859999999999
12469.0,292,1,615.22
12471.0,3,27,91010.72
12472.0,33,7,47779.49
12473.0,54,3,26705.23
12474.0,18,20,55889.61
12475.0,54,1,6077.06
12476.0,16,11,26116.98
12477.0,23,6,50865.6
12478.0,4,1,1547.87
12479.0,12,2,2706.55
12480.0,29,4,20048.2
12481.0,23,11,38509.409999999996
12483.0,18,8,12931.64
12484.0,36,4,25571.48
12485.0,356,1,30.7
12488.0,10,3,5085.36
12489.0,337,1,1361.97
12490.0,6,10,30866.64
12491.0,39,2,4623.28
12492.0,64,2,2042.1
12493.0,166,2,1759.1699999999998
12494.0,16,7,7273.18
12497.0,82,1,13594.44
12498.0,22,3,1658.67
12500.0,24,10,31366.809999999998
12501.0,337,1,20100.06
12502.0,96,5,11027.11
12504.0,19,2,1330.34
12505.0,254,1,1833.6399999999999
12506.0,233,1,311.08
12507.0,135,3,10264.7
12508.0,11,3,13121.98
12509.0,285,1,715.8399999999999
12510.0,143,2,4391.04
12512.0,67,2,1156.2
12513.0,113,1,4916.2
12514.0,268,1,5134.98
12515.0,155,2,1982.8799999999999
12516.0,78,3,15771.619999999999
12517.0,29,5,15772.09
12518.0,1,5,14202.72
12519.0,64,1,2138.82
12520.0,80,6,17015.59
12521.0,143,1,3386.0699999999997
12522.0,40,3,2198.59
12523.0,20,11,10556.31
12524.0,10,9,57952.31
12526.0,1,3,6572.17
12527.0,82,3,2598.56
12528.0,10,6,8395.34
12530.0,60,4,9013.53
12531.0,15,1,278.55
12532.0,31,2,3755.8
12534.0,131,1,7616.2
12535.0,92,2,2978.58
12536.0,60,2,32970.54
